"serial","name","name_sort","desc","web","med","org","blog","forum","url","url_itunes","url_android","keywords","tstamp"
"1","New York Times","New","US Newspaper of record","1","1","0","0","0","http://www.nytimes.com","","","newspaper","2012-07-21 23:01:31"
"2","Common Dreams","Common","About a dozen great news and opinion articles every day","1","0","0","0","0","http://commondreams.org","","","","2012-07-21 23:03:28"
"3","The Energy Bulletin","Energy","Vital articles about peak oil, energy and sustainability","1","0","0","0","0","http://energybulletin.com","","","","2012-07-21 23:06:26"
"4","Media Matters","Media","Tracks and debunks outrageous right wing hype, esp. Fox News","1","0","0","0","0","http://mediamatters.org","","","","2012-07-21 23:09:01"
"5","Naked Capitalism","Naked","Essential economic analysis and commentary","1","0","0","1","0","http://nakedcapitalism.com","","","","2012-07-21 23:14:00"
"6","Nation of Change","Nation","Progressive news aggregation site","1","0","0","0","0","http://www.nationofchange.org","","","","2012-07-21 23:17:15"
"7","The Next New Deal","Next","Good old FDR economic liberalism","1","0","0","0","0","http://www.nextnewdeal.net","nul","nul","","2012-07-22 20:41:07"
"8","Abnormal Returns","Abnormal","Financial aggregation and blogging site","0","0","0","1","0","http://abnormalreturns.com","nul","nul","","2012-07-22 20:43:59"
"9","Alphaville","Alphaville","Economic news, views, blogs from The Financial Times","0","0","0","1","0","http://ftalphaville.ft.com/blog","nul","nul","","2012-07-22 20:45:01"
"10","American Prospect","American","Progressive mag. news, culture, politics, bloggers","0","1","0","0","0","http://prospect.org","nul","nul","nul","2012-07-22 20:47:14"
"11","Baseline Scenario","Baseline","Economic analysis by authors Simon Johnson and James Kwak","0","0","0","1","0","http://baselinescenario.com","nul","nul","nul","2012-07-22 20:48:20"
"12","Calculated Risk","Calculated","Economic analysis","0","0","0","1","0","http://calculatedriskblog.com","nul","nul","nul","2012-07-22 20:49:44"
"13","Center for Science in the Public Interest","Center","Consumer advocacy focused on health and nutrition","0","0","1","0","0","http://cspinet.org","nul","nul","nul","2012-07-22 20:50:57"
"14","Daily Kos","Daily","Markos and friends: essential reading every day","0","0","0","1","0","http://www.dailykos.com","nul","nul","nul","2012-07-22 20:53:28"
"15","Brad DeLong","DeLong","Expert level economic analysis","0","0","0","1","0","http://delong.typepad.com/sdj","nul","nul","nul","2012-07-22 20:54:34"
"16","Democracy Now","Democracy","Democracy Now podcasts and news","0","1","0","0","0","http://www.democracynow.org","","nul","nul","2012-07-22 21:34:46"
"17","E.J. Dionne","Dionne","Liberal political analysis by a Wash Post op-ed writer","0","0","0","0","0","http://www.washingtonpost.com/ej-dionne-jr/2011/02/24/ABhJNkM_page.html","","nul","nul","2012-07-22 21:36:03"
"18","Econobrowser","Econ","Analysis of current economic conditions and policy","0","0","0","1","0","http://www.econobrowser.com","","nul","nul","2012-07-22 21:37:01"
"19","Economic Policy Institute","Econ","Progressive economic organization","0","0","1","0","0","http://www.epi.org","","nul","nul","2012-07-22 21:38:12"
"20","The Economic Populist","Econ","Economic News and blogging aggregation","0","0","0","1","0","http://economicpopulist.org","","nul","nul","2012-07-22 21:39:10"
"21","Eschaton","Eschaton","Atrios site","0","0","0","1","0","http://www.eschatonblog.com","","nul","nul","2012-07-22 21:40:31"
"22","Financial Armageddon","Financial","The name says it all","0","0","0","1","0","http://financialarmageddon.com","","nul","nul","2012-07-22 21:45:12"
"23","Glenn Greenwald","Greenwald","Progressive political and legal analyst and author","0","0","0","1","0","http://www.salon.com/writer/glenn_greenwald/","","nul","nul","2012-07-22 21:46:14"
