"name","name_sort","desc","web","med","org","blog","forum","url","serial","url_itunes","url_android","keywords","tstamp"
"New York Times","New","US Newspaper of record","1","1","0","0","0","http://www.nytimes.com","1","","","newspaper","2012-07-21 23:01:31"
"Common Dreams","Common","About a dozen great news and opinion articles every day","1","0","0","0","0","http://commondreams.org","2","","","","2012-07-21 23:03:28"
"The Energy Bulletin","Energy","Vital articles about peak oil, energy and sustainability","1","0","0","0","0","http://energybulletin.com","3","","","","2012-07-21 23:06:26"
"Media Matters","Media","Tracks and debunks outrageous right wing hype, esp. Fox News","1","0","0","0","0","http://mediamatters.org","4","","","","2012-07-21 23:09:01"
"Naked Capitalism","Naked","Essential economic analysis and commentary","1","0","0","1","0","http://nakedcapitalism.com","5","","","","2012-07-21 23:14:00"
"Nation of Change","Nation","Progressive news aggregation site","1","0","0","0","0","http://www.nationofchange.org","6","","","","2012-07-21 23:17:15"
"The Next New Deal","Next","Good old FDR economic liberalism","1","0","0","0","0","http://www.nextnewdeal.net","7","nul","nul","","2012-07-22 20:41:07"
"Abnormal Returns","Abnormal","Financial aggregation and blogging site","0","0","0","1","0","http://abnormalreturns.com","8","nul","nul","","2012-07-22 20:43:59"
"Alphaville","Alphaville","Economic news, views, blogs from The Financial Times","0","0","0","1","0","http://ftalphaville.ft.com/blog","9","nul","nul","","2012-07-22 20:45:01"
"American Prospect","American","Progressive mag. news, culture, politics, bloggers","0","1","0","0","0","http://prospect.org","10","nul","nul","nul","2012-07-22 20:47:14"
"Baseline Scenario","Baseline","Economic analysis by authors Simon Johnson and James Kwak","0","0","0","1","0","http://baselinescenario.com","11","nul","nul","nul","2012-07-22 20:48:20"
"Calculated Risk","Calculated","Economic analysis","0","0","0","1","0","http://calculatedriskblog.com","12","nul","nul","nul","2012-07-22 20:49:44"
"Center for Science in the Public Interest","Center","Consumer advocacy focused on health and nutrition","0","0","1","0","0","http://cspinet.org","13","nul","nul","nul","2012-07-22 20:50:57"
"Daily Kos","Daily","Markos and friends: essential reading every day","0","0","0","1","0","http://www.dailykos.com","14","nul","nul","nul","2012-07-22 20:53:28"
"Brad DeLong","DeLong","Expert level economic analysis","0","0","0","1","0","http://delong.typepad.com/sdj","15","nul","nul","nul","2012-07-22 20:54:34"
"Democracy Now","Democracy","Democracy Now podcasts and news","0","1","0","0","0","http://www.democracynow.org","16","","nul","nul","2012-07-22 21:34:46"
"E.J. Dionne","Dionne","Liberal political analysis by a Wash Post op-ed writer","0","0","0","0","0","http://www.washingtonpost.com/ej-dionne-jr/2011/02/24/ABhJNkM_page.html","17","","nul","nul","2012-07-22 21:36:03"
"Econobrowser","Econ","Analysis of current economic conditions and policy","0","0","0","1","0","http://www.econobrowser.com","18","","nul","nul","2012-07-22 21:37:01"
"Economic Policy Institute","Econ","Progressive economic organization","0","0","1","0","0","http://www.epi.org","19","","nul","nul","2012-07-22 21:38:12"
"The Economic Populist","Econ","Economic News and blogging aggregation","0","0","0","1","0","http://economicpopulist.org","20","","nul","nul","2012-07-22 21:39:10"
"Eschaton","Eschaton","Atrios site","0","0","0","1","0","http://www.eschatonblog.com","21","","nul","nul","2012-07-22 21:40:31"
"Financial Armageddon","Financial","The name says it all","0","0","0","1","0","http://financialarmageddon.com","22","","nul","nul","2012-07-22 21:45:12"
"Glenn Greenwald","Greenwald","Progressive political and legal analyst and author","0","0","0","1","0","http://www.salon.com/writer/glenn_greenwald/","23","","nul","nul","2012-07-22 21:46:14"
"The Guardian","Guardian","British newspaper","0","1","0","0","0","http://www.guardiannews.com","24","http://itunes.apple.com/us/app/the-guardian-for-iphone/id411493119?mt=8","nul","nul","2012-07-22 22:33:08"
"Jim Hightower","Hightower","Populist blogger, from Texas","0","0","0","1","0","http://jimhightower.com","25","","nul","nul","2012-07-22 22:34:03"
"Institute for Policy Studies","Institute","Policy development, research and analysis org","0","0","1","0","0","http://www.ips-dc.org","26","","nul","nul","2012-07-22 22:35:19"
"Steve Kornacki","Kornacki","Salon polical writer","0","0","0","1","0","http://www.salon.com/writer/steve_kornacki","27","","nul","nul","2012-07-22 22:36:23"
"Paul Krugman","Krugman","Essential economic analysis by NY Times op-ed writer, author & Nobel winner","0","0","0","1","0","http://krugman.blogs.nytimes.com/","28","","nul","nul","2012-07-22 22:37:15"
"Robert Kuttner","Kuttner","Economic policy analysis by well-known author","0","0","0","1","0","http://www.huffingtonpost.com/robert-kuttner/","29","","nul","nul","2012-07-22 22:38:04"
"Market Beat","Market","Market news and analysis from the WSJ site","0","0","0","1","0","http://blogs.wsj.com/marketbeat/","30","","nul","nul","2012-07-22 22:38:57"
"Harold Meyerson","Meyerson","Wash Post columnist and American Prospect editor","0","0","0","1","0","http://prospect.org/voices/harold-meyerson","31","","nul","nul","2012-07-22 22:40:00"
"MoveOn","Moveon","Democracy in Action, campaigns for the 99\%","0","0","1","0","0","http://front.moveon.org","32","","nul","nul","2012-07-22 22:40:46"
"NPR News","NPR","The news section of the NPR web site","0","1","0","0","0","http://www.npr.org/sections/news/","34","","nul","nul","2012-07-22 22:52:49"
"Of Two Minds","Two","Radical, sophisticated analysis from Charles Hugh Smith","0","0","0","1","0","http://www.oftwominds.com/blog.html","35","","nul","nul","2012-07-22 22:55:15"
"Alex Pareene","Pareene","Salon author and columnist","0","0","0","1","0","http://www.salon.com/writer/alex_pareene/","36","","nul","nul","2012-07-22 23:00:31"
"The Progressive","Progressive","Home of The Progressive magazine","0","1","0","0","0","http://progressive.org","37","","nul","nul","2012-07-22 23:01:26"
"Robert Reich","Reich","Essential progressive economic analysis: a must read","0","0","0","1","0","http://robertreich.org","38","","nul","nul","2012-07-22 23:02:18"
"Roots Action","Roots","Focused on: economic fairness, equal rights, civil liberties, environmental protection","0","0","1","0","0","http://www.rootsaction.org/index.php","39","","nul","nul","2012-07-22 23:03:17"
"Matthew Rothschild","Rothschild","Editor of The Progressive","0","0","0","1","0","http://www.progressive.org/list/mattrothschild","40","","nul","nul","2012-07-22 23:04:08"
"Felix Salmon","Salmon","Economics writer at Reuters","0","0","0","1","0","http://blogs.reuters.com/felix-salmon/","41","","nul","nul","2012-07-22 23:06:41"
"Salon","Salon","Perspectives on politics, art, life, more","0","1","0","0","0","http://www.salon.com","42","","nul","nul","2012-07-22 23:07:33"
"Alex Seitz-Wald","Seitz","Political writer at Salon","0","0","0","1","0","http://www.salon.com/writer/alex_seitz_wald/","43","","nul","nul","2012-07-22 23:08:21"
"David Sirota","Sirota","Blogger, author, radio host","0","0","0","1","0","http://www.davidsirota.com/","44","","nul","nul","2012-07-22 23:09:04"
"Of Two Minds","Two","Radical, sophisticated analysis from Charles Hugh Smith","0","0","0","1","0","http://www.oftwominds.com/blog.html","45","","nul","nul","2012-07-22 22:55:15"
"Smirking Chimp","Skirking","Presents a dozen or so daily articles, with first few paragraphs","1","0","0","0","0","http://smirkingchimp.com","46","","nul","nul","2012-07-22 23:10:22"
"Talking Points Memo","Talking","Daily progressive news and views","1","0","0","0","0","http://www.talkingpointsmemo.com","47","","nul","nul","2012-07-22 23:11:28"
"Truthdig","Truthdig","News and analysis from Robert Scheer and colleagues","1","0","0","0","0","http://www.truthdig.com","48","","nul","nul","2012-07-22 23:12:02"
"Truthout","Truthout","Progressive news and views aggregation site","1","0","0","0","0","http://truth-out.org","49","","nul","nul","2012-07-22 23:13:20"
"Union of Concerned Scientists","Union","Citizens and scientists for responsible environmental policies","0","0","1","0","0","http://www.ucsusa.org","50","","nul","nul","2012-07-22 23:14:14"
"Joan Walsh","Walsh","Salon writer","0","0","0","1","0","http://www.salon.com/writer/joan_walsh/","51","","nul","nul","2012-07-22 23:14:54"
"Zero Hedge","Zero","Economic aggregation and analysis","0","0","0","1","0","http://www.zerohedge.com","52","","nul","nul","2012-07-22 23:15:40"
"Dave Zirin","Zirin","Perspectives on sports and athletes","0","0","0","1","0","http://progressive.org/taxonomy/term/244","53","","nul","nul","2012-07-22 23:16:27"
"Center for Digital Democracy","Center","Leading consumer protection and privacy organization","0","0","1","0","0","http://www.democraticmedia.org/","54","","nul","nul","2012-07-22 23:22:17"
"The Economist","Economist","International news and analysis","0","1","0","0","0","http://www.economist.com","55","","nul","nul","2012-07-22 23:24:05"
"Frank Rich","Rich","Fomer NYT columnist, now at The New Yorker","0","0","0","1","0","http://nymag.com/frank-rich/","56","","nul","nul","2012-07-22 23:25:28"
"Mother Jones","Mother","Magazine covering politics, environment, culture","0","1","0","0","0","http://www.motherjones.com","57","","nul","nul","2012-07-22 23:27:17"
"In These Times","These","Chicago based magazine on politics, culture","0","1","0","0","0","http://inthesetimes.com","58","","nul","nul","2012-07-22 23:29:14"
"Occupy Wall Street","Occupy","Web home of the NYC Occupy movement","0","0","1","0","0","http://occupywallst.org","59","","nul","nul","2012-07-22 23:31:10"
